,Unnamed: 0,mapX,mapY,pixelX,pixelY,enable
0,0,-0.0006383414608857721,0.00038052709695569263,6834.588807785887,-2267.2043795620443,1
1,1,-0.0006383235261195165,0.0003805246218443228,6744.535279805352,-3580.0900243308997,1
2,2,-0.0006383304667867213,0.0003805179177304886,6064.986618004861,-3162.407542579077,1
3,3,-0.0006383282474171933,0.0003805036285154745,4724.847931873476,-3466.930656934307,1
4,4,-0.0006383381934806339,0.00038050532926991266,4810.161800486616,-2755.9817518248237,1
5,5,-0.0006383464441923519,0.0003805075690949488,4951.166666666664,-2151.675182481759,1
6,6,-0.0006383390771185017,0.00038049381870682724,3701.081508515816,-2777.3102189781084,1
7,7,-0.0006383613119132179,0.0003804925355226554,3432.10583941606,-1227.4416058394224,1
8,8,-0.0006383542222605587,0.000380480356517019,2308.214111922141,-1871.4428223844347,1
9,9,-0.0006383672918811133,0.0003804869168120529,2828.3917274939176,-885.5936739659418,1
10,10,-0.0006383545305063266,0.00038048820760186886,3050.5632603406348,-1768.9476885644835,1
11,11,-0.0006383654115819297,0.0003804798477872516,2163.0620437956227,-1071.0328467153347,1
12,12,-0.0006383583630287064,0.0003804763322242391,1889.9391727493933,-1610.761557177621,1
13,13,-0.0006383766574150241,0.0003804684354154119,1003.6228710462308,-403.3333333333386,1
14,14,-0.0006383721262022378,0.0003804819320577936,2308.2141119221437,-594.1046228710517,1
15,15,-0.0006383660537606124,0.0003804668522438121,932.5279805352819,-1162.8637469586424,1
16,16,-0.000638354376383443,0.0003804732684273896,1629.2579075425815,-1929.5036496350408,1
17,17,-0.0006383425859828252,0.00038047267237080397,1667.175182481754,-2780.272506082729,1
18,18,-0.0006383303881385774,0.0003804723027873206,1740.6399026764016,-3659.479318734798,1
19,19,-0.0006383332461360614,0.00038047644611971233,2100.8540145985417,-3402.352798053531,1
20,20,-0.0006383270709458468,0.00038048457060418315,2906.596107055964,-3749.5328467153295,1
21,21,-0.0006383355990787556,0.00038048477561302633,2865.1240875912404,-3144.0413625304154,1
22,22,-0.0006383442299602541,0.00038048273311418825,2604.442822384429,-2550.9914841849154,1
23,23,-0.0006383264351874462,0.0003804965848873379,4044.114355231145,-3673.1058394160573,1
24,24,-0.0006383330920131779,0.00038049654451441324,4007.381995133822,-3188.475669099756,1
25,25,-0.0006383194470005237,0.00038050485852589354,4905.547445255478,-4077.161800486617,1
26,26,-0.0006383145561676749,0.00038049655969993394,4132.9829683698335,-4506.100973236009,1
27,27,-0.0006383137136292432,0.0003805121094587723,5627.753041362535,-4408.937956204381,1
28,28,-0.0006383540835499642,0.00038050967224460483,5071.435523114356,-1594.7652068126513,1
29,29,-0.0006383558352614858,0.000380515692479621,5657.968369829688,-1406.3637469586351,1
30,30,-0.0006383663280214743,0.0003805085188184001,4885.403892944044,-747.5510948905086,1
31,31,-0.0006383551231489656,0.0003805097860286585,5089.209245742097,-1509.4513381995112,1
32,32,-0.0006383699430824813,0.00038050587699803626,4633.017031630173,-496.34914841848916,1
33,33,-0.0006383046975894506,0.0003805215129581094,6581.017031630172,-4959.923357664233,1
34,34,-0.0006383042652354206,0.0003805111257245461,5614.1265206812695,-5105.66788321168,1
35,35,-0.0006383298431545063,0.00038050031678490504,4376.482968369832,-3411.832116788319,1
36,36,-0.0006383089084997096,0.0003805266434131359,7061.500000000001,-4592.599756690996,1
37,37,-0.0006383219735845152,0.00038051429373022773,5761.648418491482,-3805.8163017031616,1
